Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;21;537833;3.9;518
796;'s-Hertogenbosch;30;154205;19.5;796
1680;Aa en Hunze;0;25386;0;1680
358;Aalsmeer;3;31728;9.5;358
197;Aalten;0;27011;0;197
59;Achtkarspelen;0;27852;0;59
482;Alblasserdam;1;20069;5;482
613;Albrandswaard;4;25271;15.8;613
361;Alkmaar;5;108558;4.6;361
141;Almelo;1;72849;1.4;141
34;Almere;4;207904;1.9;34
484;Alphen aan den Rijn;9;110986;8.1;484
1723;Alphen-Chaam;6;10149;59.1;1723
1959;Altena;15;55386;27.1;1959
60;Ameland;0;3673;0;60
307;Amersfoort;23;156286;14.7;307
362;Amstelveen;7;90838;7.7;362
363;Amsterdam;61;862965;7.1;363
200;Apeldoorn;10;162445;6.2;200
3;Appingedam;0;11721;0;3
202;Arnhem;9;159265;5.7;202
106;Assen;0;67963;0;106
743;Asten;2;16710;12;743
744;Baarle-Nassau;0;6847;0;744
308;Baarn;0;24767;0;308
489;Barendrecht;3;48673;6.2;489
203;Barneveld;5;57971;8.6;203
888;Beek;3;15929;18.8;888
1954;Beekdaelen;18;35727;50.4;1954
370;Beemster;0;9748;0;370
889;Beesel;0;13519;0;889
1945;Berg en Dal;14;34798;40.2;1945
1724;Bergeijk;1;18491;5.4;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);2;29974;6.7;373
748;Bergen op Zoom;5;66811;7.5;748
1859;Berkelland;0;43904;0;1859
1721;Bernheze;26;30806;84.4;1721
753;Best;6;29821;20.1;753
209;Beuningen;6;25882;23.2;209
375;Beverwijk;6;41176;14.6;375
1728;Bladel;2;20175;9.9;1728
376;Blaricum;2;11202;17.9;376
377;Bloemendaal;3;23410;12.8;377
1901;Bodegraven-Reeuwijk;1;34462;2.9;1901
755;Boekel;19;10588;179.4;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;3;23210;12.9;147
654;Borsele;2;22800;8.8;654
756;Boxmeer;2;29065;6.9;756
757;Boxtel;5;30747;16.3;757
758;Breda;105;183873;57.1;758
501;Brielle;0;17182;0;501
1876;Bronckhorst;2;36212;5.5;1876
213;Brummen;0;20698;0;213
899;Brunssum;4;28103;14.2;899
312;Bunnik;0;15192;0;312
313;Bunschoten;0;21576;0;313
214;Buren;4;26568;15.1;214
502;Capelle aan den IJssel;1;66818;1.5;502
383;Castricum;5;35772;14;383
109;Coevorden;12;35483;33.8;109
1706;Cranendonck;6;20440;29.4;1706
1684;Cuijk;2;24931;8;1684
216;Culemborg;4;28555;14;216
148;Dalfsen;1;28499;3.5;148
1891;Dantumadiel;0;18923;0;1891
310;De Bilt;16;42824;37.4;310
