Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
796;'s-Hertogenbosch;117;155113;75.4;796
1680;Aa en Hunze;4;25453;15.7;1680
358;Aalsmeer;16;31857;50.2;358
197;Aalten;3;27117;11.1;197
59;Achtkarspelen;2;27836;7.2;59
482;Alblasserdam;6;20165;29.8;482
613;Albrandswaard;23;25589;89.9;613
361;Alkmaar;42;109444;38.4;361
141;Almelo;15;73080;20.5;141
34;Almere;48;211840;22.7;34
484;Alphen aan den Rijn;35;111889;31.3;484
1723;Alphen-Chaam;21;10213;205.6;1723
1959;Altena;41;55980;73.2;1959
60;Ameland;0;3718;0;60
307;Amersfoort;63;157279;40.1;307
362;Amstelveen;63;91691;68.7;362
363;Amsterdam;477;872779;54.7;363
200;Apeldoorn;52;163829;31.7;200
3;Appingedam;1;11644;8.6;3
202;Arnhem;52;161368;32.2;202
106;Assen;10;68606;14.6;106
743;Asten;10;16734;59.8;743
744;Baarle-Nassau;2;6860;29.2;744
308;Baarn;6;24873;24.1;308
489;Barendrecht;28;48713;57.5;489
203;Barneveld;19;59077;32.2;203
888;Beek;14;15868;88.2;888
1954;Beekdaelen;37;35976;102.8;1954
370;Beemster;4;10025;39.9;370
889;Beesel;13;13483;96.4;889
1945;Berg en Dal;53;34990;151.5;1945
1724;Bergeijk;14;18638;75.1;1724
893;Bergen (L.);2;13085;15.3;893
373;Bergen (NH.);20;29844;67;373
748;Bergen op Zoom;17;67489;25.2;748
1859;Berkelland;2;43748;4.6;1859
1721;Bernheze;95;31247;304;1721
753;Best;23;29985;76.7;753
209;Beuningen;18;25891;69.5;209
375;Beverwijk;17;41613;40.9;375
1728;Bladel;18;20395;88.3;1728
376;Blaricum;6;11536;52;376
377;Bloemendaal;19;23570;80.6;377
1901;Bodegraven-Reeuwijk;10;34869;28.7;1901
755;Boekel;53;10784;491.5;755
1681;Borger-Odoorn;1;25558;3.9;1681
147;Borne;15;23313;64.3;147
654;Borsele;7;22738;30.8;654
756;Boxmeer;17;29371;57.9;756
757;Boxtel;24;30803;77.9;757
758;Breda;227;184271;123.2;758
501;Brielle;10;17282;57.9;501
1876;Bronckhorst;9;36052;25;1876
213;Brummen;5;20756;24.1;213
899;Brunssum;25;27817;89.9;899
312;Bunnik;10;15191;65.8;312
313;Bunschoten;4;21867;18.3;313
214;Buren;7;26742;26.2;214
502;Capelle aan den IJssel;41;67151;61.1;502
383;Castricum;19;35988;52.8;383
109;Coevorden;20;35296;56.7;109
1706;Cranendonck;42;21166;198.4;1706
1684;Cuijk;10;25139;39.8;1684
216;Culemborg;16;28956;55.3;216
148;Dalfsen;15;28585;52.5;148
1891;Dantumadiel;1;18916;5.3;1891
310;De Bilt;39;43124;90.4;310
1940;De Fryske Marren;17;51567;33;1940
736;De Ronde Venen;17;44457;38.2;736
1690;De Wolden;7;24327;28.8;1690
503;Delft;29;103659;28;503
10;Delfzijl;7;24666;28.4;10
400;Den Helder;9;56305;16;400
762;Deurne;46;32474;141.7;762
150;Deventer;45;100718;44.7;150
384;Diemen;7;30781;22.7;384
1774;Dinkelland;30;26470;113.3;1774
221;Doesburg;6;11078;54.2;221
222;Doetinchem;18;58009;31;222
766;Dongen;12;26226;45.8;766
505;Dordrecht;36;119300;30.2;505
498;Drechterland;5;19717;25.4;498
1719;Drimmelen;26;27274;95.3;1719
303;Dronten;11;41569;26.5;303
225;Druten;13;18918;68.7;225
226;Duiven;6;25124;23.9;226
1711;Echt-Susteren;28;31618;88.6;1711
385;Edam-Volendam;14;36201;38.7;385
228;Ede;46;117166;39.3;228
317;Eemnes;1;9247;10.8;317
770;Eersel;17;19314;88;770
