Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;17;537833;3.2;518
796;'s-Hertogenbosch;24;154205;15.6;796
1680;Aa en Hunze;0;25386;0;1680
358;Aalsmeer;3;31728;9.5;358
197;Aalten;0;27011;0;197
59;Achtkarspelen;0;27852;0;59
482;Alblasserdam;1;20069;5;482
613;Albrandswaard;3;25271;11.9;613
361;Alkmaar;2;108558;1.8;361
141;Almelo;1;72849;1.4;141
34;Almere;3;207904;1.4;34
484;Alphen aan den Rijn;6;110986;5.4;484
1723;Alphen-Chaam;3;10149;29.6;1723
1959;Altena;12;55386;21.7;1959
60;Ameland;0;3673;0;60
307;Amersfoort;21;156286;13.4;307
362;Amstelveen;6;90838;6.6;362
363;Amsterdam;56;862965;6.5;363
200;Apeldoorn;7;162445;4.3;200
3;Appingedam;0;11721;0;3
202;Arnhem;8;159265;5;202
106;Assen;0;67963;0;106
743;Asten;2;16710;12;743
744;Baarle-Nassau;0;6847;0;744
308;Baarn;0;24767;0;308
489;Barendrecht;3;48673;6.2;489
203;Barneveld;4;57971;6.9;203
888;Beek;3;15929;18.8;888
1954;Beekdaelen;15;35727;42;1954
370;Beemster;0;9748;0;370
889;Beesel;0;13519;0;889
1945;Berg en Dal;14;34798;40.2;1945
1724;Bergeijk;1;18491;5.4;1724
893;Bergen (L);0;13140;0;893
373;Bergen (NH);1;29974;3.3;373
748;Bergen op Zoom;5;66811;7.5;748
1859;Berkelland;0;43904;0;1859
1721;Bernheze;20;30806;64.9;1721
753;Best;5;29821;16.8;753
209;Beuningen;6;25882;23.2;209
375;Beverwijk;6;41176;14.6;375
1728;Bladel;1;20175;5;1728
376;Blaricum;1;11202;8.9;376
377;Bloemendaal;3;23410;12.8;377
1901;Bodegraven-Reeuwijk;1;34462;2.9;1901
755;Boekel;14;10588;132.2;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;3;23210;12.9;147
654;Borsele;2;22800;8.8;654
756;Boxmeer;1;29065;3.4;756
757;Boxtel;5;30747;16.3;757
758;Breda;96;183873;52.2;758
501;Brielle;0;17182;0;501
1876;Bronckhorst;2;36212;5.5;1876
213;Brummen;0;20698;0;213
899;Brunssum;2;28103;7.1;899
312;Bunnik;0;15192;0;312
313;Bunschoten;0;21576;0;313
214;Buren;4;26568;15.1;214
502;Capelle aan den IJssel;1;66818;1.5;502
383;Castricum;5;35772;14;383
109;Coevorden;11;35483;31;109
1706;Cranendonck;5;20440;24.5;1706
1684;Cuijk;2;24931;8;1684
216;Culemborg;4;28555;14;216
148;Dalfsen;1;28499;3.5;148
1891;Dantumadiel;0;18923;0;1891
310;De Bilt;15;42824;35;310
1940;De Fryske Marren;3;51430;5.8;1940
736;De Ronde Venen;2;44059;4.5;736
1690;De Wolden;1;24110;4.1;1690
503;Delft;2;103163;1.9;503
10;Delfzijl;0;24716;0;10
400;Den Helder;1;55604;1.8;400
762;Deurne;8;32362;24.7;762
150;Deventer;4;99957;4;150
384;Diemen;2;29196;6.9;384
1774;Dinkelland;5;26350;19;1774
221;Doesburg;1;11148;9;221
222;Doetinchem;0;57555;0;222
766;Dongen;5;26051;19.2;766
505;Dordrecht;4;118654;3.4;505
498;Drechterland;0;19597;0;498
1719;Drimmelen;11;27150;40.5;1719
303;Dronten;7;40815;17.2;303
225;Druten;5;18797;26.6;225
226;Duiven;1;25332;3.9;226
1711;Echt-Susteren;2;31638;6.3;1711
385;Edam-Volendam;0;36099;0;385
228;Ede;2;115710;1.7;228
317;Eemnes;0;9113;0;317
770;Eersel;3;19110;15.7;770
1903;Eijsden-Margraten;4;25658;15.6;1903
772;Eindhoven;22;231642;9.5;772
230;Elburg;1;23086;4.3;230
114;Emmen;1;107113;0.9;114
388;Enkhuizen;1;18507;5.4;388
153;Enschede;3;158986;1.9;153
232;Epe;2;33145;6;232
233;Ermelo;8;26858;29.8;233
777;Etten-Leur;12;43774;27.4;777
779;Geertruidenberg;5;21515;23.2;779
1771;Geldrop-Mierlo;3;39595;7.6;1771
1652;Gemert-Bakel;25;30447;82.1;1652
907;Gennep;1;17071;5.9;907
784;Gilze en Rijen;1;26431;3.8;784
1924;Goeree-Overflakkee;5;49611;10.1;1924
664;Goes;2;37653;5.3;664
785;Goirle;9;23793;37.8;785
1942;Gooise Meren;9;57715;15.6;1942
512;Gorinchem;0;36682;0;512
513;Gouda;5;73181;6.8;513
786;Grave;0;12483;0;786
14;Groningen;7;231299;3;14
1729;Gulpen-Wittem;2;14246;14;1729
158;Haaksbergen;1;24277;4.1;158
788;Haaren;7;14195;49.3;788
392;Haarlem;7;161265;4.3;392
394;Haarlemmermeer;4;154235;2.6;394
1655;Halderberge;2;30194;6.6;1655
160;Hardenberg;0;60574;0;160
243;Harderwijk;4;47581;8.4;243
523;Hardinxveld-Giessendam;5;18051;27.7;523
72;Harlingen;1;15758;6.3;72
244;Hattem;0;12173;0;244
396;Heemskerk;2;39164;5.1;396
397;Heemstede;5;27286;18.3;397
246;Heerde;3;18546;16.2;246
74;Heerenveen;0;50257;0;74
398;Heerhugowaard;1;56742;1.8;398
917;Heerlen;8;86832;9.2;917
1658;Heeze-Leende;3;15964;18.8;1658
399;Heiloo;3;23464;12.8;399
163;Hellendoorn;2;35808;5.6;163
530;Hellevoetsluis;1;40049;2.5;530
794;Helmond;19;91524;20.8;794
531;Hendrik-Ido-Ambacht;0;30966;0;531
164;Hengelo (O);3;80683;3.7;164
1966;Het Hogeland;0;47888;0;1966
252;Heumen;3;16486;18.2;252
797;Heusden;4;44135;9.1;797
534;Hillegom;0;21966;0;534
798;Hilvarenbeek;4;15334;26.1;798
402;Hilversum;3;90238;3.3;402
1963;Hoeksche Waard;6;86656;6.9;1963
1735;Hof van Twente;1;34940;2.9;1735
1911;Hollands Kroon;0;47815;0;1911
118;Hoogeveen;2;55662;3.6;118
405;Hoorn;1;73004;1.4;405
1507;Horst aan de Maas;8;42291;18.9;1507
321;Houten;13;49911;26;321
406;Huizen;1;41273;2.4;406
677;Hulst;0;27524;0;677
353;IJsselstein;6;34160;17.6;353
1884;Kaag en Braassem;0;26866;0;1884
166;Kampen;1;53779;1.9;166
678;Kapelle;1;12785;7.8;678
537;Katwijk;1;65302;1.5;537
928;Kerkrade;3;45642;6.6;928
1598;Koggenland;1;22738;4.4;1598
542;Krimpen aan den IJssel;1;29376;3.4;542
1931;Krimpenerwaard;4;56048;7.1;1931
1659;Laarbeek;1;22333;4.5;1659
1685;Landerd;14;15529;90.2;1685
882;Landgraaf;4;37591;10.6;882
415;Landsmeer;3;11488;26.1;415
416;Langedijk;4;27992;14.3;416
1621;Lansingerland;7;61601;11.4;1621
417;Laren;0;11195;0;417
80;Leeuwarden;3;123107;2.4;80
546;Leiden;8;124899;6.4;546
547;Leiderdorp;1;27109;3.7;547
1916;Leidschendam-Voorburg;5;75425;6.6;1916
