Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
796;'s-Hertogenbosch;131;155113;84.5;796
1680;Aa en Hunze;4;25453;15.7;1680
358;Aalsmeer;17;31857;53.4;358
197;Aalten;5;27117;18.4;197
59;Achtkarspelen;2;27836;7.2;59
482;Alblasserdam;7;20165;34.7;482
613;Albrandswaard;24;25589;93.8;613
361;Alkmaar;45;109444;41.1;361
141;Almelo;19;73080;26;141
34;Almere;57;211840;26.9;34
484;Alphen aan den Rijn;41;111889;36.6;484
1723;Alphen-Chaam;24;10213;235;1723
1959;Altena;41;55980;73.2;1959
60;Ameland;0;3718;0;60
307;Amersfoort;68;157279;43.2;307
362;Amstelveen;75;91691;81.8;362
363;Amsterdam;530;872779;60.7;363
200;Apeldoorn;53;163829;32.4;200
3;Appingedam;1;11644;8.6;3
202;Arnhem;59;161368;36.6;202
106;Assen;12;68606;17.5;106
743;Asten;15;16734;89.6;743
744;Baarle-Nassau;3;6860;43.7;744
308;Baarn;7;24873;28.1;308
489;Barendrecht;29;48713;59.5;489
203;Barneveld;20;59077;33.9;203
888;Beek;15;15868;94.5;888
1954;Beekdaelen;39;35976;108.4;1954
370;Beemster;4;10025;39.9;370
889;Beesel;15;13483;111.3;889
1945;Berg en Dal;64;34990;182.9;1945
1724;Bergeijk;14;18638;75.1;1724
893;Bergen (L.);2;13085;15.3;893
373;Bergen (NH.);22;29844;73.7;373
748;Bergen op Zoom;17;67489;25.2;748
1859;Berkelland;5;43748;11.4;1859
1721;Bernheze;104;31247;332.8;1721
753;Best;25;29985;83.4;753
209;Beuningen;23;25891;88.8;209
375;Beverwijk;20;41613;48.1;375
1728;Bladel;18;20395;88.3;1728
376;Blaricum;6;11536;52;376
377;Bloemendaal;19;23570;80.6;377
1901;Bodegraven-Reeuwijk;11;34869;31.5;1901
755;Boekel;59;10784;547.1;755
1681;Borger-Odoorn;2;25558;7.8;1681
147;Borne;19;23313;81.5;147
654;Borsele;7;22738;30.8;654
756;Boxmeer;19;29371;64.7;756
757;Boxtel;24;30803;77.9;757
758;Breda;237;184271;128.6;758
501;Brielle;11;17282;63.7;501
1876;Bronckhorst;11;36052;30.5;1876
213;Brummen;8;20756;38.5;213
899;Brunssum;26;27817;93.5;899
312;Bunnik;10;15191;65.8;312
313;Bunschoten;4;21867;18.3;313
214;Buren;8;26742;29.9;214
502;Capelle aan den IJssel;42;67151;62.5;502
383;Castricum;20;35988;55.6;383
109;Coevorden;20;35296;56.7;109
1706;Cranendonck;55;21166;259.9;1706
1684;Cuijk;10;25139;39.8;1684
216;Culemborg;18;28956;62.2;216
148;Dalfsen;16;28585;56;148
1891;Dantumadiel;3;18916;15.9;1891
310;De Bilt;39;43124;90.4;310
1940;De Fryske Marren;21;51567;40.7;1940
736;De Ronde Venen;19;44457;42.7;736
1690;De Wolden;7;24327;28.8;1690
503;Delft;32;103659;30.9;503
10;Delfzijl;7;24666;28.4;10
400;Den Helder;11;56305;19.5;400
762;Deurne;53;32474;163.2;762
150;Deventer;46;100718;45.7;150
384;Diemen;8;30781;26;384
1774;Dinkelland;32;26470;120.9;1774
221;Doesburg;6;11078;54.2;221
222;Doetinchem;23;58009;39.6;222
766;Dongen;18;26226;68.6;766
505;Dordrecht;42;119300;35.2;505
498;Drechterland;5;19717;25.4;498
1719;Drimmelen;30;27274;110;1719
303;Dronten;13;41569;31.3;303
225;Druten;16;18918;84.6;225
226;Duiven;6;25124;23.9;226
1711;Echt-Susteren;29;31618;91.7;1711
385;Edam-Volendam;14;36201;38.7;385
228;Ede;49;117166;41.8;228
317;Eemnes;1;9247;10.8;317
770;Eersel;20;19314;103.6;770
1903;Eijsden-Margraten;48;25753;186.4;1903
772;Eindhoven;139;234456;59.3;772
