Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
928;Kerkrade;6;45642;13.1;928
1598;Koggenland;1;22738;4.4;1598
542;Krimpen aan den IJssel;2;29376;6.8;542
1931;Krimpenerwaard;9;56048;16.1;1931
1659;Laarbeek;8;22333;35.8;1659
1685;Landerd;20;15529;128.8;1685
882;Landgraaf;9;37591;23.9;882
415;Landsmeer;4;11488;34.8;415
416;Langedijk;4;27992;14.3;416
1621;Lansingerland;16;61601;26;1621
417;Laren;0;11195;0;417
80;Leeuwarden;8;123107;6.5;80
546;Leiden;16;124899;12.8;546
547;Leiderdorp;2;27109;7.4;547
1916;Leidschendam-Voorburg;9;75425;11.9;1916
995;Lelystad;15;77893;19.3;995
1640;Leudal;20;35681;56.1;1640
327;Leusden;6;30030;20;327
1705;Lingewaard;6;46475;12.9;1705
553;Lisse;0;22800;0;553
262;Lochem;2;33590;6;262
809;Loon op Zand;14;23327;60;809
331;Lopik;4;14473;27.6;331
24;Loppersum;0;9614;0;24
168;Losser;1;22622;4.4;168
263;Maasdriel;2;24693;8.1;263
1641;Maasgouw;7;23716;29.5;1641
556;Maassluis;3;32768;9.2;556
935;Maastricht;57;121565;46.9;935
420;Medemblik;1;44809;2.2;420
938;Meerssen;2;18923;10.6;938
1948;Meierijstad;95;80815;117.6;1948
119;Meppel;1;33564;3;119
687;Middelburg;4;48544;8.2;687
1842;Midden-Delfland;2;19391;10.3;1842
1731;Midden-Drenthe;1;33178;3;1731
1952;Midden-Groningen;2;60899;3.3;1952
815;Mill en Sint Hubert;2;10891;18.4;815
1709;Moerdijk;3;36961;8.1;1709
1978;Molenlanden;11;43858;25.1;1978
1955;Montferland;1;36026;2.8;1955
335;Montfoort;0;13996;0;335
944;Mook en Middelaar;1;7806;12.8;944
1740;Neder-Betuwe;5;24034;20.8;1740
946;Nederweert;7;17001;41.2;946
356;Nieuwegein;9;63036;14.3;356
569;Nieuwkoop;2;28628;7;569
267;Nijkerk;4;42943;9.3;267
268;Nijmegen;60;176731;33.9;268
1930;Nissewaard;12;84797;14.2;1930
1970;Noardeast-Fryslân;1;45181;2.2;1970
1695;Noord-Beveland;0;7308;0;1695
1699;Noordenveld;1;31290;3.2;1699
171;Noordoostpolder;3;46849;6.4;171
575;Noordwijk;3;42859;7;575
820;Nuenen, Gerwen en Nederwetten;1;23186;4.3;820
302;Nunspeet;9;27481;32.7;302
579;Oegstgeest;7;24426;28.7;579
823;Oirschot;1;18623;5.4;823
824;Oisterwijk;15;26140;57.4;824
1895;Oldambt;0;38129;0;1895
269;Oldebroek;6;23598;25.4;269
173;Oldenzaal;6;31840;18.8;173
1773;Olst-Wijhe;2;18071;11.1;1773
175;Ommen;4;17813;22.5;175
1586;Oost Gelre;2;29704;6.7;1586
826;Oosterhout;13;55616;23.4;826
85;Ooststellingwerf;0;25497;0;85
431;Oostzaan;3;9757;30.7;431
432;Opmeer;0;11779;0;432
86;Opsterland;2;29723;6.7;86
828;Oss;44;91451;48.1;828
1509;Oude IJsselstreek;4;39473;10.1;1509
437;Ouder-Amstel;4;13916;28.7;437
589;Oudewater;3;10201;29.4;589
1734;Overbetuwe;20;47543;42.1;1734
590;Papendrecht;2;32290;6.2;590
1894;Peel en Maas;63;43311;145.5;1894
765;Pekela;2;12214;16.4;765
1926;Pijnacker-Nootdorp;11;54331;20.2;1926
439;Purmerend;14;80117;17.5;439
273;Putten;3;24198;12.4;273
177;Raalte;3;37511;8;177
703;Reimerswaal;5;22678;22;703
274;Renkum;9;31302;28.8;274
339;Renswoude;0;5259;0;339
1667;Reusel-De Mierden;0;13060;0;1667
275;Rheden;7;43640;16;275
340;Rhenen;0;20004;0;340
597;Ridderkerk;4;46241;8.7;597
1742;Rijssen-Holten;3;38300;7.8;1742
603;Rijswijk;4;53467;7.5;603
1669;Roerdalen;4;20615;19.4;1669
957;Roermond;18;58209;30.9;957
1674;Roosendaal;8;77032;10.4;1674
599;Rotterdam;120;644618;18.6;599
277;Rozendaal;2;1654;120.9;277
840;Rucphen;6;22572;26.6;840
441;Schagen;7;46553;15;441
279;Scherpenzeel;0;9873;0;279
606;Schiedam;6;77999;7.7;606
88;Schiermonnikoog;0;936;0;88
1676;Schouwen-Duiveland;3;33779;8.9;1676
965;Simpelveld;5;10516;47.5;965
1702;Sint Anthonis;12;11606;103.4;1702
845;Sint-Michielsgestel;12;28991;41.4;845
1883;Sittard-Geleen;58;92661;62.6;1883
610;Sliedrecht;3;25026;12;610
1714;Sluis;3;23386;12.8;1714
90;Smallingerland;3;55938;5.4;90
342;Soest;15;46194;32.5;342
847;Someren;5;19322;25.9;847
848;Son en Breugel;8;16904;47.3;848
37;Stadskanaal;0;31789;0;37
180;Staphorst;3;17003;17.6;180
532;Stede Broec;5;21706;23;532
851;Steenbergen;5;25054;20;851
1708;Steenwijkerland;3;43940;6.8;1708
971;Stein;5;24961;20;971
1904;Stichtse Vecht;10;64336;15.5;1904
1900;Súdwest-Fryslân;4;89710;4.5;1900
715;Terneuzen;5;54589;9.2;715
93;Terschelling;0;4890;0;93
448;Texel;3;13547;22.1;448
1525;Teylingen;5;37061;13.5;1525
716;Tholen;7;25780;27.2;716
281;Tiel;4;41978;9.5;281
855;Tilburg;154;217259;70.9;855
183;Tubbergen;3;21276;14.1;183
1700;Twenterand;1;33792;3;1700
1730;Tynaarlo;7;33698;20.8;1730
737;Tytsjerksteradiel;1;31780;3.1;737
856;Uden;76;41782;181.9;856
450;Uitgeest;2;13528;14.8;450
451;Uithoorn;2;29424;6.8;451
184;Urk;6;20776;28.9;184
344;Utrecht;121;352866;34.3;344
1581;Utrechtse Heuvelrug;8;49515;16.2;1581
981;Vaals;0;10092;0;981
994;Valkenburg aan de Geul;4;16470;24.3;994
858;Valkenswaard;4;30910;12.9;858
47;Veendam;0;27491;0;47
345;Veenendaal;2;65589;3;345
717;Veere;5;21835;22.9;717
861;Veldhoven;9;45337;19.9;861
453;Velsen;8;68348;11.7;453
983;Venlo;33;101603;32.5;983
984;Venray;8;43326;18.5;984
1961;Vijfheerenlanden;9;55712;16.2;1961
622;Vlaardingen;12;72404;16.6;622
96;Vlieland;0;1138;0;96
718;Vlissingen;6;44371;13.5;718
986;Voerendaal;4;12452;32.1;986
626;Voorschoten;2;25479;7.8;626
285;Voorst;2;24417;8.2;285
865;Vught;11;26396;41.7;865
1949;Waadhoeke;0;46039;0;1949
866;Waalre;2;17247;11.6;866
867;Waalwijk;16;48240;33.2;867
627;Waddinxveen;4;28316;14.1;627
289;Wageningen;3;38774;7.7;289
629;Wassenaar;5;26211;19.1;629
852;Waterland;8;17315;46.2;852
988;Weert;7;49842;14;988
457;Weesp;1;19334;5.2;457
1960;West Betuwe;12;50697;23.7;1960
668;West Maas en Waal;4;19076;21;668
1969;Westerkwartier;3;63031;4.8;1969
1701;Westerveld;1;19348;5.2;1701
293;Westervoort;1;14944;6.7;293
1950;Westerwolde;0;25199;0;1950
1783;Westland;11;108603;10.1;1783
98;Weststellingwerf;1;25840;3.9;98
614;Westvoorne;3;14626;20.5;614
189;Wierden;0;24351;0;189
296;Wijchen;17;40951;41.5;296
1696;Wijdemeren;1;24013;4.2;1696
352;Wijk bij Duurstede;6;23762;25.3;352
294;Winterswijk;1;28903;3.5;294
873;Woensdrecht;0;21866;0;873
632;Woerden;6;52197;11.5;632
880;Wormerland;1;16329;6.1;880
351;Woudenberg;3;13166;22.8;351
479;Zaanstad;9;155885;5.8;479
297;Zaltbommel;5;28451;17.6;297
473;Zandvoort;2;17011;11.8;473
50;Zeewolde;4;22309;17.9;50
355;Zeist;17;63934;26.6;355
299;Zevenaar;6;43488;13.8;299
637;Zoetermeer;4;124944;3.2;637
638;Zoeterwoude;0;8450;0;638
1892;Zuidplas;1;42762;2.3;1892
879;Zundert;7;21612;32.4;879
301;Zutphen;4;47609;8.4;301
1896;Zwartewaterland;15;22503;66.7;1896
642;Zwijndrecht;6;44639;13.4;642
193;Zwolle;23;127497;18;193
