Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;53;537833;9.9;518
796;'s-Hertogenbosch;60;154205;38.9;796
1680;Aa en Hunze;1;25386;3.9;1680
358;Aalsmeer;8;31728;25.2;358
197;Aalten;1;27011;3.7;197
59;Achtkarspelen;0;27852;0;59
482;Alblasserdam;4;20069;19.9;482
613;Albrandswaard;14;25271;55.4;613
361;Alkmaar;16;108558;14.7;361
141;Almelo;7;72849;9.6;141
34;Almere;18;207904;8.7;34
484;Alphen aan den Rijn;17;110986;15.3;484
1723;Alphen-Chaam;14;10149;137.9;1723
1959;Altena;25;55386;45.1;1959
60;Ameland;0;3673;0;60
307;Amersfoort;41;156286;26.2;307
362;Amstelveen;29;90838;31.9;362
363;Amsterdam;203;862965;23.5;363
200;Apeldoorn;26;162445;16;200
3;Appingedam;0;11721;0;3
202;Arnhem;20;159265;12.6;202
106;Assen;4;67963;5.9;106
743;Asten;5;16710;29.9;743
744;Baarle-Nassau;1;6847;14.6;744
308;Baarn;2;24767;8.1;308
489;Barendrecht;13;48673;26.7;489
203;Barneveld;10;57971;17.3;203
888;Beek;5;15929;31.4;888
1954;Beekdaelen;20;35727;56;1954
370;Beemster;0;9748;0;370
889;Beesel;5;13519;37;889
1945;Berg en Dal;33;34798;94.8;1945
1724;Bergeijk;3;18491;16.2;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);9;29974;30;373
748;Bergen op Zoom;12;66811;18;748
1859;Berkelland;2;43904;4.6;1859
1721;Bernheze;62;30806;201.3;1721
753;Best;14;29821;46.9;753
209;Beuningen;12;25882;46.4;209
375;Beverwijk;7;41176;17;375
1728;Bladel;12;20175;59.5;1728
376;Blaricum;4;11202;35.7;376
377;Bloemendaal;11;23410;47;377
1901;Bodegraven-Reeuwijk;5;34462;14.5;1901
755;Boekel;40;10588;377.8;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;7;23210;30.2;147
654;Borsele;3;22800;13.2;654
756;Boxmeer;7;29065;24.1;756
757;Boxtel;12;30747;39;757
758;Breda;161;183873;87.6;758
501;Brielle;1;17182;5.8;501
1876;Bronckhorst;6;36212;16.6;1876
213;Brummen;4;20698;19.3;213
899;Brunssum;8;28103;28.5;899
312;Bunnik;4;15192;26.3;312
313;Bunschoten;0;21576;0;313
214;Buren;5;26568;18.8;214
502;Capelle aan den IJssel;7;66818;10.5;502
383;Castricum;8;35772;22.4;383
109;Coevorden;14;35483;39.5;109
1706;Cranendonck;19;20440;93;1706
1684;Cuijk;5;24931;20.1;1684
216;Culemborg;5;28555;17.5;216
148;Dalfsen;9;28499;31.6;148
1891;Dantumadiel;0;18923;0;1891
310;De Bilt;23;42824;53.7;310
1940;De Fryske Marren;8;51430;15.6;1940
736;De Ronde Venen;6;44059;13.6;736
1690;De Wolden;3;24110;12.4;1690
503;Delft;16;103163;15.5;503
10;Delfzijl;1;24716;4;10
400;Den Helder;4;55604;7.2;400
762;Deurne;22;32362;68;762
150;Deventer;17;99957;17;150
384;Diemen;4;29196;13.7;384
1774;Dinkelland;15;26350;56.9;1774
221;Doesburg;4;11148;35.9;221
222;Doetinchem;6;57555;10.4;222
766;Dongen;2;26051;7.7;766
505;Dordrecht;17;118654;14.3;505
498;Drechterland;2;19597;10.2;498
1719;Drimmelen;16;27150;58.9;1719
303;Dronten;11;40815;27;303
225;Druten;6;18797;31.9;225
226;Duiven;2;25332;7.9;226
1711;Echt-Susteren;14;31638;44.3;1711
385;Edam-Volendam;6;36099;16.6;385
228;Ede;21;115710;18.1;228
317;Eemnes;1;9113;11;317
770;Eersel;10;19110;52.3;770
1903;Eijsden-Margraten;7;25658;27.3;1903
772;Eindhoven;55;231642;23.7;772
230;Elburg;4;23086;17.3;230
114;Emmen;6;107113;5.6;114
388;Enkhuizen;8;18507;43.2;388
