Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;103;537833;19.2;518
796;'s-Hertogenbosch;87;154205;56.4;796
1680;Aa en Hunze;3;25386;11.8;1680
358;Aalsmeer;11;31728;34.7;358
197;Aalten;2;27011;7.4;197
59;Achtkarspelen;1;27852;3.6;59
482;Alblasserdam;6;20069;29.9;482
613;Albrandswaard;19;25271;75.2;613
361;Alkmaar;29;108558;26.7;361
141;Almelo;12;72849;16.5;141
34;Almere;32;207904;15.4;34
484;Alphen aan den Rijn;30;110986;27;484
1723;Alphen-Chaam;19;10149;187.2;1723
1959;Altena;35;55386;63.2;1959
60;Ameland;0;3673;0;60
307;Amersfoort;54;156286;34.6;307
362;Amstelveen;46;90838;50.6;362
363;Amsterdam;351;862965;40.7;363
200;Apeldoorn;39;162445;24;200
3;Appingedam;0;11721;0;3
202;Arnhem;34;159265;21.3;202
106;Assen;7;67963;10.3;106
743;Asten;6;16710;35.9;743
744;Baarle-Nassau;2;6847;29.2;744
308;Baarn;5;24767;20.2;308
489;Barendrecht;19;48673;39;489
203;Barneveld;13;57971;22.4;203
888;Beek;13;15929;81.6;888
1954;Beekdaelen;32;35727;89.6;1954
370;Beemster;2;9748;20.5;370
889;Beesel;8;13519;59.2;889
1945;Berg en Dal;43;34798;123.6;1945
1724;Bergeijk;11;18491;59.5;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);14;29974;46.7;373
748;Bergen op Zoom;13;66811;19.5;748
1859;Berkelland;2;43904;4.6;1859
1721;Bernheze;83;30806;269.4;1721
753;Best;21;29821;70.4;753
209;Beuningen;15;25882;58;209
375;Beverwijk;12;41176;29.1;375
1728;Bladel;15;20175;74.3;1728
376;Blaricum;6;11202;53.6;376
377;Bloemendaal;16;23410;68.3;377
1901;Bodegraven-Reeuwijk;8;34462;23.2;1901
755;Boekel;42;10588;396.7;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;12;23210;51.7;147
654;Borsele;6;22800;26.3;654
756;Boxmeer;10;29065;34.4;756
757;Boxtel;19;30747;61.8;757
758;Breda;201;183873;109.3;758
501;Brielle;2;17182;11.6;501
1876;Bronckhorst;8;36212;22.1;1876
213;Brummen;4;20698;19.3;213
899;Brunssum;22;28103;78.3;899
312;Bunnik;9;15192;59.2;312
313;Bunschoten;3;21576;13.9;313
214;Buren;7;26568;26.3;214
502;Capelle aan den IJssel;26;66818;38.9;502
383;Castricum;13;35772;36.3;383
109;Coevorden;17;35483;47.9;109
1706;Cranendonck;31;20440;151.7;1706
1684;Cuijk;8;24931;32.1;1684
216;Culemborg;14;28555;49;216
148;Dalfsen;13;28499;45.6;148
1891;Dantumadiel;1;18923;5.3;1891
310;De Bilt;34;42824;79.4;310
1940;De Fryske Marren;12;51430;23.3;1940
736;De Ronde Venen;13;44059;29.5;736
1690;De Wolden;3;24110;12.4;1690
503;Delft;25;103163;24.2;503
10;Delfzijl;2;24716;8.1;10
400;Den Helder;6;55604;10.8;400
762;Deurne;35;32362;108.2;762
150;Deventer;30;99957;30;150
384;Diemen;6;29196;20.6;384
1774;Dinkelland;25;26350;94.9;1774
221;Doesburg;5;11148;44.9;221
222;Doetinchem;17;57555;29.5;222
766;Dongen;6;26051;23;766
505;Dordrecht;28;118654;23.6;505
498;Drechterland;4;19597;20.4;498
1719;Drimmelen;21;27150;77.3;1719
303;Dronten;11;40815;27;303
225;Druten;7;18797;37.2;225
226;Duiven;3;25332;11.8;226
1711;Echt-Susteren;23;31638;72.7;1711
385;Edam-Volendam;10;36099;27.7;385
228;Ede;33;115710;28.5;228
317;Eemnes;1;9113;11;317
770;Eersel;14;19110;73.3;770
1903;Eijsden-Margraten;26;25658;101.3;1903
772;Eindhoven;93;231642;40.1;772
230;Elburg;6;23086;26;230
114;Emmen;8;107113;7.5;114
388;Enkhuizen;15;18507;81.1;388
153;Enschede;34;158986;21.4;153
232;Epe;16;33145;48.3;232
233;Ermelo;17;26858;63.3;233
777;Etten-Leur;37;43774;84.5;777
779;Geertruidenberg;11;21515;51.1;779
1771;Geldrop-Mierlo;16;39595;40.4;1771
1652;Gemert-Bakel;71;30447;233.2;1652
907;Gennep;8;17071;46.9;907
784;Gilze en Rijen;19;26431;71.9;784
1924;Goeree-Overflakkee;56;49611;112.9;1924
664;Goes;7;37653;18.6;664
785;Goirle;21;23793;88.3;785
1942;Gooise Meren;20;57715;34.7;1942
512;Gorinchem;9;36682;24.5;512
513;Gouda;25;73181;34.2;513
786;Grave;14;12483;112.2;786
14;Groningen;76;231299;32.9;14
1729;Gulpen-Wittem;5;14246;35.1;1729
158;Haaksbergen;4;24277;16.5;158
788;Haaren;14;14195;98.6;788
392;Haarlem;54;161265;33.5;392
394;Haarlemmermeer;30;154235;19.5;394
1655;Halderberge;8;30194;26.5;1655
160;Hardenberg;9;60574;14.9;160
243;Harderwijk;14;47581;29.4;243
523;Hardinxveld-Giessendam;6;18051;33.2;523
72;Harlingen;3;15758;19;72
244;Hattem;5;12173;41.1;244
396;Heemskerk;10;39164;25.5;396
397;Heemstede;21;27286;77;397
246;Heerde;24;18546;129.4;246
74;Heerenveen;4;50257;8;74
398;Heerhugowaard;19;56742;33.5;398
917;Heerlen;63;86832;72.6;917
1658;Heeze-Leende;10;15964;62.6;1658
399;Heiloo;10;23464;42.6;399
163;Hellendoorn;7;35808;19.5;163
530;Hellevoetsluis;7;40049;17.5;530
794;Helmond;66;91524;72.1;794
531;Hendrik-Ido-Ambacht;5;30966;16.1;531
164;Hengelo (O);21;80683;26;164
1966;Het Hogeland;6;47888;12.5;1966
252;Heumen;15;16486;91;252
797;Heusden;25;44135;56.6;797
534;Hillegom;3;21966;13.7;534
798;Hilvarenbeek;10;15334;65.2;798
402;Hilversum;18;90238;19.9;402
1963;Hoeksche Waard;43;86656;49.6;1963
1735;Hof van Twente;8;34940;22.9;1735
1911;Hollands Kroon;14;47815;29.3;1911
118;Hoogeveen;7;55662;12.6;118
405;Hoorn;15;73004;20.5;405
1507;Horst aan de Maas;20;42291;47.3;1507
321;Houten;43;49911;86.2;321
406;Huizen;8;41273;19.4;406
677;Hulst;1;27524;3.6;677
353;IJsselstein;23;34160;67.3;353
1884;Kaag en Braassem;5;26866;18.6;1884
166;Kampen;41;53779;76.2;166
678;Kapelle;2;12785;15.6;678
537;Katwijk;10;65302;15.3;537
928;Kerkrade;26;45642;57;928
1598;Koggenland;6;22738;26.4;1598
542;Krimpen aan den IJssel;7;29376;23.8;542
1931;Krimpenerwaard;19;56048;33.9;1931
1659;Laarbeek;24;22333;107.5;1659
1685;Landerd;34;15529;218.9;1685
882;Landgraaf;25;37591;66.5;882
415;Landsmeer;7;11488;60.9;415
416;Langedijk;13;27992;46.4;416
1621;Lansingerland;28;61601;45.5;1621
417;Laren;5;11195;44.7;417
80;Leeuwarden;15;123107;12.2;80
546;Leiden;28;124899;22.4;546
547;Leiderdorp;4;27109;14.8;547
1916;Leidschendam-Voorburg;17;75425;22.5;1916
995;Lelystad;27;77893;34.7;995
1640;Leudal;32;35681;89.7;1640
327;Leusden;13;30030;43.3;327
1705;Lingewaard;14;46475;30.1;1705
553;Lisse;2;22800;8.8;553
262;Lochem;8;33590;23.8;262
809;Loon op Zand;21;23327;90;809
331;Lopik;12;14473;82.9;331
24;Loppersum;1;9614;10.4;24
168;Losser;1;22622;4.4;168
263;Maasdriel;5;24693;20.2;263
1641;Maasgouw;12;23716;50.6;1641
556;Maassluis;8;32768;24.4;556
935;Maastricht;118;121565;97.1;935
420;Medemblik;6;44809;13.4;420
938;Meerssen;8;18923;42.3;938
1948;Meierijstad;168;80815;207.9;1948
119;Meppel;3;33564;8.9;119
687;Middelburg;8;48544;16.5;687
1842;Midden-Delfland;2;19391;10.3;1842
1731;Midden-Drenthe;2;33178;6;1731
1952;Midden-Groningen;5;60899;8.2;1952
815;Mill en Sint Hubert;5;10891;45.9;815
1709;Moerdijk;5;36961;13.5;1709
