Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;47;537833;8.7;518
796;'s-Hertogenbosch;55;154205;35.7;796
1680;Aa en Hunze;1;25386;3.9;1680
358;Aalsmeer;7;31728;22.1;358
197;Aalten;1;27011;3.7;197
59;Achtkarspelen;0;27852;0;59
482;Alblasserdam;4;20069;19.9;482
613;Albrandswaard;12;25271;47.5;613
361;Alkmaar;15;108558;13.8;361
141;Almelo;5;72849;6.9;141
34;Almere;14;207904;6.7;34
484;Alphen aan den Rijn;17;110986;15.3;484
1723;Alphen-Chaam;9;10149;88.7;1723
1959;Altena;23;55386;41.5;1959
60;Ameland;0;3673;0;60
307;Amersfoort;37;156286;23.7;307
362;Amstelveen;27;90838;29.7;362
363;Amsterdam;188;862965;21.8;363
200;Apeldoorn;17;162445;10.5;200
3;Appingedam;0;11721;0;3
202;Arnhem;16;159265;10;202
106;Assen;2;67963;2.9;106
743;Asten;5;16710;29.9;743
744;Baarle-Nassau;1;6847;14.6;744
308;Baarn;1;24767;4;308
489;Barendrecht;10;48673;20.5;489
203;Barneveld;9;57971;15.5;203
888;Beek;5;15929;31.4;888
1954;Beekdaelen;19;35727;53.2;1954
370;Beemster;0;9748;0;370
889;Beesel;5;13519;37;889
1945;Berg en Dal;30;34798;86.2;1945
1724;Bergeijk;1;18491;5.4;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);8;29974;26.7;373
748;Bergen op Zoom;10;66811;15;748
1859;Berkelland;1;43904;2.3;1859
1721;Bernheze;57;30806;185;1721
753;Best;14;29821;46.9;753
209;Beuningen;11;25882;42.5;209
375;Beverwijk;7;41176;17;375
1728;Bladel;11;20175;54.5;1728
376;Blaricum;4;11202;35.7;376
377;Bloemendaal;8;23410;34.2;377
1901;Bodegraven-Reeuwijk;5;34462;14.5;1901
755;Boekel;37;10588;349.5;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;5;23210;21.5;147
654;Borsele;3;22800;13.2;654
756;Boxmeer;7;29065;24.1;756
757;Boxtel;12;30747;39;757
758;Breda;140;183873;76.1;758
501;Brielle;1;17182;5.8;501
1876;Bronckhorst;6;36212;16.6;1876
213;Brummen;1;20698;4.8;213
899;Brunssum;6;28103;21.4;899
312;Bunnik;3;15192;19.7;312
313;Bunschoten;0;21576;0;313
214;Buren;5;26568;18.8;214
502;Capelle aan den IJssel;7;66818;10.5;502
383;Castricum;8;35772;22.4;383
109;Coevorden;14;35483;39.5;109
1706;Cranendonck;13;20440;63.6;1706
1684;Cuijk;4;24931;16;1684
216;Culemborg;5;28555;17.5;216
148;Dalfsen;8;28499;28.1;148
1891;Dantumadiel;0;18923;0;1891
310;De Bilt;20;42824;46.7;310
1940;De Fryske Marren;8;51430;15.6;1940
736;De Ronde Venen;4;44059;9.1;736
1690;De Wolden;3;24110;12.4;1690
503;Delft;12;103163;11.6;503
10;Delfzijl;0;24716;0;10
400;Den Helder;3;55604;5.4;400
762;Deurne;22;32362;68;762
150;Deventer;16;99957;16;150
384;Diemen;4;29196;13.7;384
1774;Dinkelland;14;26350;53.1;1774
221;Doesburg;4;11148;35.9;221
222;Doetinchem;5;57555;8.7;222
766;Dongen;2;26051;7.7;766
505;Dordrecht;13;118654;11;505
498;Drechterland;2;19597;10.2;498
1719;Drimmelen;14;27150;51.6;1719
303;Dronten;10;40815;24.5;303
225;Druten;5;18797;26.6;225
226;Duiven;2;25332;7.9;226
1711;Echt-Susteren;12;31638;37.9;1711
385;Edam-Volendam;5;36099;13.9;385
228;Ede;16;115710;13.8;228
317;Eemnes;1;9113;11;317
770;Eersel;9;19110;47.1;770
1903;Eijsden-Margraten;6;25658;23.4;1903
772;Eindhoven;46;231642;19.9;772
230;Elburg;3;23086;13;230
114;Emmen;4;107113;3.7;114
388;Enkhuizen;7;18507;37.8;388
153;Enschede;18;158986;11.3;153
232;Epe;8;33145;24.1;232
233;Ermelo;13;26858;48.4;233
777;Etten-Leur;20;43774;45.7;777
779;Geertruidenberg;8;21515;37.2;779
1771;Geldrop-Mierlo;6;39595;15.2;1771
1652;Gemert-Bakel;50;30447;164.2;1652
907;Gennep;7;17071;41;907
784;Gilze en Rijen;12;26431;45.4;784
1924;Goeree-Overflakkee;25;49611;50.4;1924
664;Goes;3;37653;8;664
785;Goirle;13;23793;54.6;785
1942;Gooise Meren;11;57715;19.1;1942
512;Gorinchem;2;36682;5.5;512
513;Gouda;15;73181;20.5;513
786;Grave;10;12483;80.1;786
14;Groningen;46;231299;19.9;14
1729;Gulpen-Wittem;2;14246;14;1729
158;Haaksbergen;3;24277;12.4;158
788;Haaren;12;14195;84.5;788
392;Haarlem;27;161265;16.7;392
394;Haarlemmermeer;16;154235;10.4;394
1655;Halderberge;7;30194;23.2;1655
160;Hardenberg;3;60574;5;160
243;Harderwijk;6;47581;12.6;243
523;Hardinxveld-Giessendam;6;18051;33.2;523
72;Harlingen;3;15758;19;72
244;Hattem;1;12173;8.2;244
396;Heemskerk;5;39164;12.8;396
397;Heemstede;11;27286;40.3;397
246;Heerde;9;18546;48.5;246
74;Heerenveen;2;50257;4;74
398;Heerhugowaard;8;56742;14.1;398
917;Heerlen;24;86832;27.6;917
1658;Heeze-Leende;7;15964;43.8;1658
399;Heiloo;6;23464;25.6;399
163;Hellendoorn;4;35808;11.2;163
530;Hellevoetsluis;4;40049;10;530
794;Helmond;38;91524;41.5;794
531;Hendrik-Ido-Ambacht;1;30966;3.2;531
164;Hengelo (O);15;80683;18.6;164
1966;Het Hogeland;0;47888;0;1966
252;Heumen;7;16486;42.5;252
797;Heusden;15;44135;34;797
534;Hillegom;2;21966;9.1;534
798;Hilvarenbeek;6;15334;39.1;798
402;Hilversum;7;90238;7.8;402
1963;Hoeksche Waard;21;86656;24.2;1963
1735;Hof van Twente;5;34940;14.3;1735
1911;Hollands Kroon;7;47815;14.6;1911
118;Hoogeveen;5;55662;9;118
405;Hoorn;9;73004;12.3;405
1507;Horst aan de Maas;13;42291;30.7;1507
321;Houten;23;49911;46.1;321
406;Huizen;3;41273;7.3;406
677;Hulst;0;27524;0;677
353;IJsselstein;13;34160;38.1;353
1884;Kaag en Braassem;2;26866;7.4;1884
166;Kampen;14;53779;26;166
678;Kapelle;2;12785;15.6;678
537;Katwijk;6;65302;9.2;537
928;Kerkrade;8;45642;17.5;928
1598;Koggenland;2;22738;8.8;1598
542;Krimpen aan den IJssel;3;29376;10.2;542
1931;Krimpenerwaard;11;56048;19.6;1931
1659;Laarbeek;11;22333;49.3;1659
1685;Landerd;22;15529;141.7;1685
882;Landgraaf;10;37591;26.6;882
415;Landsmeer;5;11488;43.5;415
416;Langedijk;4;27992;14.3;416
1621;Lansingerland;20;61601;32.5;1621
417;Laren;0;11195;0;417
80;Leeuwarden;8;123107;6.5;80
546;Leiden;16;124899;12.8;546
547;Leiderdorp;2;27109;7.4;547
1916;Leidschendam-Voorburg;10;75425;13.3;1916
995;Lelystad;19;77893;24.4;995
1640;Leudal;22;35681;61.7;1640
327;Leusden;6;30030;20;327
