Gemeente;Gemnr;Aantal;id
Aalsmeer;358;3;358
Albrandswaard;613;2;613
Alkmaar;361;2;361
Almelo;141;1;141
Almere;34;3;34
Alphen aan den Rijn;484;6;484
Alphen-Chaam;1723;2;1723
Altena;1959;12;1959
Amersfoort;307;18;307
Amstelveen;362;4;362
Amsterdam;363;39;363
Apeldoorn;200;7;200
Arnhem;202;7;202
Asten;743;1;743
Barendrecht;489;3;489
Barneveld;203;3;203
Beek;888;3;888
Beekdaelen;1954;13;1954
Berg en Dal;1945;10;1945
Bergeijk;1724;1;1724
Bergen (NH.);373;1;373
Bergen op Zoom;748;4;748
Bernheze;1721;19;1721
Best;753;4;753
Beuningen;209;5;209
Beverwijk;375;5;375
Bladel;1728;1;1728
Blaricum;376;1;376
Bloemendaal;377;1;377
Bodegraven-Reeuwijk;1901;1;1901
Boekel;755;14;755
Borne;147;3;147
Borsele;654;2;654
Boxmeer;756;1;756
Boxtel;757;3;757
Breda;758;86;758
Bronckhorst;1876;2;1876
Buren;214;4;214
Castricum;383;5;383
Coevorden;109;11;109
Cranendonck;1706;2;1706
Cuijk;1684;2;1684
Culemborg;216;2;216
Dalfsen;148;1;148
De Bilt;310;13;310
De Fryske Marren;1940;3;1940
De Ronde Venen;736;2;736
De Wolden;1690;1;1690
Delft;503;2;503
Den Helder;400;1;400
Deurne;762;5;762
Deventer;150;2;150
Diemen;384;2;384
Dinkelland;1774;5;1774
Doesburg;221;1;221
Dongen;766;5;766
Dordrecht;505;1;505
Drimmelen;1719;7;1719
Dronten;303;7;303
Druten;225;5;225
Duiven;226;1;226
Ede;228;2;228
Eersel;770;2;770
Eijsden-Margraten;1903;4;1903
Eindhoven;772;21;772
Elburg;230;1;230
Emmen;114;1;114
Enkhuizen;388;1;388
Enschede;153;3;153
Epe;232;2;232
Ermelo;233;8;233
Etten-Leur;777;10;777
Geertruidenberg;779;3;779
Geldrop-Mierlo;1771;3;1771
Gemert-Bakel;1652;20;1652
Gennep;907;1;907
Gilze en Rijen;784;1;784
Goeree-Overflakkee;1924;4;1924
Goes;664;2;664
Goirle;785;9;785
Gooise Meren;1942;4;1942
Gouda;513;4;513
Groningen;14;7;14
Gulpen-Wittem;1729;2;1729
Haaksbergen;158;1;158
Haaren;788;7;788
Haarlem;392;6;392
Haarlemmermeer;394;2;394
Halderberge;1655;2;1655
Harderwijk;243;4;243
Hardinxveld-Giessendam;523;5;523
Harlingen;72;1;72
Heemskerk;396;2;396
Heemstede;397;5;397
Heerde;246;2;246
Heerhugowaard;398;1;398
Heerlen;917;6;917
Heeze-Leende;1658;2;1658
Heiloo;399;3;399
Hellendoorn;163;2;163
Hellevoetsluis;530;1;530
Helmond;794;17;794
Hengelo;164;3;164
Heumen;252;2;252
Heusden;797;4;797
Hilvarenbeek;798;4;798
Hoeksche Waard;1963;4;1963
Hof van Twente;1735;1;1735
Hoogeveen;118;2;118
Hoorn;405;1;405
Horst aan de Maas;1507;5;1507
Houten;321;13;321
Huizen;406;1;406
IJsselstein;353;4;353
Katwijk;537;1;537
Kerkrade;928;2;928
Koggenland;1598;1;1598
Krimpen aan den IJssel;542;1;542
Krimpenerwaard;1931;4;1931
Laarbeek;1659;1;1659
Landerd;1685;10;1685
Landgraaf;882;4;882
Landsmeer;415;3;415
Langedijk;416;4;416
Lansingerland;1621;5;1621
Leeuwarden;80;2;80
Leiden;546;8;546
Leiderdorp;547;1;547
Leidschendam-Voorburg;1916;4;1916
Lelystad;995;8;995
Leudal;1640;7;1640
Leusden;327;1;327
Lingewaard;1705;3;1705
Loon op Zand;809;7;809
Lopik;331;1;331
Maasgouw;1641;2;1641
Maassluis;556;1;556
Maastricht;935;24;935
Meerssen;938;1;938
Meierijstad;1948;42;1948
Middelburg;687;1;687
Midden-Groningen;1952;1;1952
Mill en Sint Hubert;815;1;815
Moerdijk;1709;1;1709
Molenlanden;1978;2;1978
Neder-Betuwe;1740;4;1740
Nederweert;946;3;946
Nieuwegein;356;1;356
Nieuwkoop;569;1;569
Nijkerk;267;1;267
Nijmegen;268;17;268
Nissewaard;1930;1;1930
Noordenveld;1699;1;1699
Noordoostpolder;171;2;171
Noordwijk;575;2;575
Nuenen, Gerwen en Nederwetten;820;1;820
Nunspeet;302;2;302
Oegstgeest;579;4;579
Oirschot;823;1;823
Oisterwijk;824;9;824
Oldebroek;269;2;269
Oldenzaal;173;1;173
Ommen;175;1;175
Oosterhout;826;6;826
Opsterland;86;2;86
Oss;828;11;828
Oude IJsselstreek;1509;1;1509
Oudewater;589;1;589
Overbetuwe;1734;8;1734
Peel en Maas;1894;19;1894
Pekela;765;1;765
Pijnacker-Nootdorp;1926;8;1926
Purmerend;439;2;439
Putten;273;2;273
Raalte;177;2;177
Reimerswaal;703;2;703
Renkum;274;8;274
Rheden;275;1;275
Ridderkerk;597;1;597
Rijswijk;603;1;603
Roermond;957;2;957
Roosendaal;1674;6;1674
Rotterdam;599;30;599
Rozendaal;277;1;277
Rucphen;840;1;840
Schagen;441;4;441
Schiedam;606;1;606
Schouwen-Duiveland;1676;2;1676
's-Gravenhage;518;14;518
's-Hertogenbosch;796;20;796
Simpelveld;965;3;965
Sint Anthonis;1702;3;1702
Sint-Michielsgestel;845;8;845
Sittard-Geleen;1883;38;1883
Sluis;1714;2;1714
Smallingerland;90;3;90
Soest;342;10;342
Someren;847;1;847
Son en Breugel;848;4;848
Staphorst;180;1;180
Stede Broec;532;1;532
Steenbergen;851;2;851
Stein;971;3;971
Stichtse Vecht;1904;7;1904
Súdwest-Fryslân;1900;1;1900
Terneuzen;715;1;715
Teylingen;1525;1;1525
Tholen;716;1;716
Tiel;281;4;281
Tilburg;855;84;855
Tubbergen;183;1;183
Tytsjerksteradiel;737;1;737
Uden;856;43;856
Utrecht;344;48;344
Utrechtse Heuvelrug;1581;3;1581
Valkenburg aan de Geul;994;1;994
Veenendaal;345;1;345
Veere;717;1;717
Veldhoven;861;1;861
Velsen;453;4;453
Venlo;983;6;983
Vijfheerenlanden;1961;3;1961
Vlaardingen;622;1;622
Vlissingen;718;3;718
Voorst;285;1;285
Vught;865;3;865
Waalre;866;1;866
Waalwijk;867;10;867
Waddinxveen;627;1;627
Wassenaar;629;3;629
Waterland;852;3;852
West Betuwe;1960;3;1960
West Maas en Waal;668;3;668
Westerkwartier;1969;1;1969
Westland;1783;1;1783
Westvoorne;614;3;614
Wijchen;296;5;296
Wijk bij Duurstede;352;3;352
Woerden;632;2;632
Woudenberg;351;1;351
Zaanstad;479;2;479
Zaltbommel;297;1;297
Zandvoort;473;1;473
Zeewolde;50;2;50
Zeist;355;8;355
Zundert;879;3;879
Zwartewaterland;1896;2;1896
Zwijndrecht;642;3;642
Zwolle;193;6;193
