Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;81;537833;15.1;518
796;'s-Hertogenbosch;75;154205;48.6;796
1680;Aa en Hunze;1;25386;3.9;1680
358;Aalsmeer;10;31728;31.5;358
197;Aalten;2;27011;7.4;197
59;Achtkarspelen;1;27852;3.6;59
482;Alblasserdam;5;20069;24.9;482
613;Albrandswaard;18;25271;71.2;613
361;Alkmaar;24;108558;22.1;361
141;Almelo;10;72849;13.7;141
34;Almere;28;207904;13.5;34
484;Alphen aan den Rijn;22;110986;19.8;484
1723;Alphen-Chaam;16;10149;157.7;1723
1959;Altena;35;55386;63.2;1959
60;Ameland;0;3673;0;60
307;Amersfoort;47;156286;30.1;307
362;Amstelveen;35;90838;38.5;362
363;Amsterdam;297;862965;34.4;363
200;Apeldoorn;34;162445;20.9;200
3;Appingedam;0;11721;0;3
202;Arnhem;25;159265;15.7;202
106;Assen;5;67963;7.4;106
743;Asten;6;16710;35.9;743
744;Baarle-Nassau;2;6847;29.2;744
308;Baarn;4;24767;16.2;308
489;Barendrecht;16;48673;32.9;489
203;Barneveld;13;57971;22.4;203
888;Beek;13;15929;81.6;888
1954;Beekdaelen;30;35727;84;1954
370;Beemster;2;9748;20.5;370
889;Beesel;7;13519;51.8;889
1945;Berg en Dal;37;34798;106.3;1945
1724;Bergeijk;10;18491;54.1;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);12;29974;40;373
748;Bergen op Zoom;12;66811;18;748
1859;Berkelland;2;43904;4.6;1859
1721;Bernheze;69;30806;224;1721
753;Best;19;29821;63.7;753
209;Beuningen;15;25882;58;209
375;Beverwijk;11;41176;26.7;375
1728;Bladel;15;20175;74.3;1728
376;Blaricum;5;11202;44.6;376
377;Bloemendaal;13;23410;55.5;377
1901;Bodegraven-Reeuwijk;5;34462;14.5;1901
755;Boekel;42;10588;396.7;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;11;23210;47.4;147
654;Borsele;5;22800;21.9;654
756;Boxmeer;9;29065;31;756
757;Boxtel;15;30747;48.8;757
758;Breda;181;183873;98.4;758
501;Brielle;1;17182;5.8;501
1876;Bronckhorst;7;36212;19.3;1876
213;Brummen;4;20698;19.3;213
899;Brunssum;20;28103;71.2;899
312;Bunnik;8;15192;52.7;312
313;Bunschoten;3;21576;13.9;313
214;Buren;7;26568;26.3;214
502;Capelle aan den IJssel;23;66818;34.4;502
