gemeente_id,Provinciecode,Provincienaam,Gemeentenaam,BevAant,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020
209,25,Gelderland,Beuningen,25882,0,0,0,0,0,0,0,0,1,1,5,3,3,3,3.0,3.0,4.0,4.0,5.0,6,6,6
375,27,Noord-Holland,Beverwijk,41176,0,0,0,0,0,0,1,2,2,3,4,4,4,4,5.0,5.0,5.0,5.0,5.0,6,6,6
1728,30,Noord-Brabant,Bladel,20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1,2,3
376,27,Noord-Holland,Blaricum,11202,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,2,2
377,27,Noord-Holland,Bloemendaal,23410,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,3,3,3
1901,28,Zuid-Holland,Bodegraven-Reeuwijk,34462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,1,1
755,30,Noord-Brabant,Boekel,10588,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8.0,11.0,12.0,12.0,14.0,14,19,20
1681,22,Drenthe,Borger-Odoorn,25372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
147,23,Overijssel,Borne,23210,0,0,0,0,0,0,0,1,1,2,3,3,3,3,2.0,3.0,3.0,3.0,3.0,3,3,3
654,29,Zeeland,Borsele,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,2.0,2,2,3
756,30,Noord-Brabant,Boxmeer,29065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,2,2
757,30,Noord-Brabant,Boxtel,30747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,3.0,5,5,6
